2023-05-18 10:42:59,052 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 10:42:59,087 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 10:42:59,605 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=CKUW ML SP24 - LINE MATRIX 4.21 (BRANDIX) - T.xlsx, type=bom, file_variation=2
2023-05-18 10:43:08,087 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 10:43:08,088 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=CKUW ML SP24 - LINE MATRIX 4.21 (BRANDIX) - T.xlsx, type=line_matrix, file_variation=2
2023-05-18 10:43:08,089 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 10:47:55,336 [17] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 10:47:55,382 [17] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 10:47:55,847 [17] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements - QS6892 - BOM.xlsx, type=bom, file_variation=2
2023-05-18 10:47:55,869 [17] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 10:47:55,873 [17] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements - QS6892 - BOM.xlsx, type=line_matrix, file_variation=2
2023-05-18 10:47:56,640 [17] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
