2023-05-18 14:53:06,038 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 14:53:06,064 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 14:53:06,308 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QM230 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 14:53:06,338 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 14:53:06,340 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QM230 - CKNA.xlsx, type=line_matrix, file_variation=2
2023-05-18 14:53:06,379 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 14:59:33,491 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 14:59:33,518 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 14:59:33,689 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QM230 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 14:59:51,728 [12] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 14:59:51,728 [12] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 14:59:51,849 [12] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QC812 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:01:19,034 [21] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:01:19,035 [21] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:01:19,057 [21] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:02:24,375 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:02:24,418 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:02:24,526 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:02:33,688 [10] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:02:33,689 [10] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:02:33,711 [10] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:03:15,999 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:03:57,208 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:04:11,302 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:04:35,338 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:05:59,671 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:06:30,280 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:06:44,510 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:06:48,315 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:06:52,655 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:07:01,282 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:07:04,473 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:07:12,158 [16] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:08:51,828 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:08:54,132 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:08:56,121 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:11:19,269 [10] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:11:20,886 [10] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:11:22,927 [10] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:14:37,290 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:14:38,843 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:14:39,694 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:14:40,542 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 15:14:41,365 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=line_matrix, file_variation=2
2023-05-18 15:14:42,120 [11] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
